threshold,window_start,gateway_windows,batch_latency_ms,latency_ms_per_gateway_window
0.1,2020-07-08 07:50:00+00:00,3,3.3618,1.1206
0.1,2020-07-08 07:55:00+00:00,2,3.2509,1.62545
0.1,2020-07-08 08:00:00+00:00,2,5.8924,2.9462
0.1,2020-07-08 08:05:00+00:00,2,3.5873,1.79365
0.1,2020-07-08 08:10:00+00:00,2,3.3361,1.66805
0.1,2020-07-08 08:15:00+00:00,3,3.2238,1.0746
0.1,2020-07-08 08:20:00+00:00,3,6.7059,2.2353
0.1,2020-07-08 08:25:00+00:00,2,6.6273,3.31365
0.1,2020-07-08 08:30:00+00:00,2,7.4208,3.7104
0.1,2020-07-08 08:35:00+00:00,3,7.1405,2.3801666666666668
0.1,2020-07-08 08:40:00+00:00,3,6.2332,2.077733333333333
0.1,2020-07-08 08:45:00+00:00,3,8.207,2.735666666666667
0.1,2020-07-08 08:50:00+00:00,3,6.4022,2.1340666666666666
0.1,2020-07-08 08:55:00+00:00,3,7.798,2.5993333333333335
0.1,2020-07-08 09:00:00+00:00,3,6.9306,2.3102
0.1,2020-07-08 09:05:00+00:00,3,8.1097,2.7032333333333334
0.1,2020-07-08 09:10:00+00:00,3,6.9165,2.3055
0.1,2020-07-08 09:15:00+00:00,3,8.1756,2.7251999999999996
0.1,2020-07-08 09:20:00+00:00,3,7.1571,2.3857
0.1,2020-07-08 09:25:00+00:00,3,6.5728,2.190933333333333
0.1,2020-07-08 09:30:00+00:00,3,7.5902,2.530066666666667
0.1,2020-07-08 09:35:00+00:00,2,7.3261,3.66305
0.1,2020-07-08 09:40:00+00:00,2,7.6185,3.80925
0.1,2020-07-08 09:45:00+00:00,3,6.3491,2.1163666666666665
0.1,2020-07-08 09:50:00+00:00,2,7.3371,3.66855
0.1,2020-07-08 09:55:00+00:00,2,7.2614,3.6307
0.1,2020-07-08 10:00:00+00:00,3,3.6742,1.2247333333333332
0.1,2020-07-08 10:05:00+00:00,3,5.9001,1.9667000000000001
0.1,2020-07-08 10:10:00+00:00,3,3.4177,1.1392333333333333
0.1,2020-07-08 10:15:00+00:00,3,3.7464,1.2488
0.1,2020-07-08 10:20:00+00:00,3,3.3831,1.1277000000000001
0.1,2020-07-08 10:25:00+00:00,3,4.8533,1.6177666666666666
0.1,2020-07-08 10:30:00+00:00,3,3.3916,1.1305333333333334
0.1,2020-07-08 10:35:00+00:00,3,3.3128,1.1042666666666667
0.1,2020-07-08 10:40:00+00:00,3,3.5269,1.1756333333333333
0.1,2020-07-08 10:45:00+00:00,3,6.3582,2.1194
0.1,2020-07-08 10:50:00+00:00,3,6.6636,2.2212
0.1,2020-07-08 10:55:00+00:00,3,7.9166,2.6388666666666665
0.1,2020-07-08 11:00:00+00:00,3,6.9207,2.3069
0.1,2020-07-08 11:05:00+00:00,3,7.0914,2.3638
0.1,2020-07-08 11:10:00+00:00,3,6.9062,2.3020666666666667
0.1,2020-07-08 11:15:00+00:00,3,7.6441,2.548033333333333
0.1,2020-07-08 11:20:00+00:00,3,9.0392,3.0130666666666666
0.1,2020-07-08 11:25:00+00:00,2,6.7572,3.3786
0.1,2020-07-08 11:30:00+00:00,2,8.5062,4.2531
0.1,2020-07-08 11:35:00+00:00,3,7.3325,2.4441666666666664
0.1,2020-07-08 11:40:00+00:00,3,7.1576,2.385866666666667
