threshold,target_alarm_budget,score_cutoff_from_calibration,windows,events,alerts,alert_rate,precision,event_recall,lift_over_random
0.1,0.05,0.45577904779300293,35776,3528,836,0.023367620751341682,0.7476076555023924,0.17715419501133786,7.581182393212468
0.1,0.1,0.3890358803456523,35776,3528,1950,0.05450581395348837,0.6374358974358975,0.35232426303854875,6.463975812547241
0.2,0.05,0.19100487724443227,35776,744,1055,0.029489042933810376,0.33175355450236965,0.47043010752688175,15.952708556285991
0.2,0.1,0.1003320349280702,35776,744,2385,0.06666480322003578,0.2289308176100629,0.7338709677419355,11.008372218840874
