threshold,gateway,feature,event_n,non_event_n,cliffs_delta,p_value
0.1,00000f0c22433141,frequency_nunique,2070,4754,-0.10756708309707153,4.862956176545848e-13
0.1,00800000a0001793,frequency_nunique,895,3188,-0.4508572650231665,3.725102120312913e-103
0.1,00800000a0001794,frequency_nunique,810,2549,-0.33453835684775923,5.15092881083223e-50
0.1,00800000a0001914,frequency_nunique,67,263,-0.22688837182906763,0.0028625035584131276
0.1,7276ff002e062804,frequency_nunique,6730,30316,-0.12607843738867874,8.152278622548313e-63
0.2,00000f0c22433141,crc_success_rate,991,5833,0.6380598712603385,4.2028403356312456e-227
0.2,00800000a0001793,crc_success_rate,282,3801,0.7131960421016492,2.3139465482400593e-89
0.2,00800000a0001794,crc_success_rate,280,3079,0.5689034009186655,3.7009793233600957e-56
0.2,00800000a0001914,crc_success_rate,20,310,0.7743548387096775,6.23228131209177e-09
0.2,7276ff002e062804,crc_success_rate,1431,35615,0.283659600944294,3.361492322638242e-74
0.2,00000f0c22433141,prev_delta,991,5833,0.4858926636661205,1.7608203042167346e-132
0.2,00800000a0001793,prev_delta,282,3801,0.5765084216359637,6.526822069318049e-59
0.2,00800000a0001794,prev_delta,280,3079,0.6357374843409269,1.234768355690168e-69
0.2,00800000a0001914,prev_delta,20,310,0.7022580645161289,1.395465010141493e-07
0.2,7276ff002e062804,prev_delta,1431,35615,0.6772226818507934,0.0
0.2,00000f0c22433141,rssi_mean,991,5833,0.17642461218340344,5.9409825600852555e-19
0.2,00800000a0001793,rssi_mean,282,3801,0.4799894018184838,2.39360381583956e-41
0.2,00800000a0001794,rssi_mean,280,3079,0.07703335962511026,0.03258052588365224
0.2,00800000a0001914,rssi_mean,20,310,-0.03483870967741931,0.7949010848909593
0.2,7276ff002e062804,rssi_mean,1431,35615,-0.04313515542460311,0.005586776578744791
0.2,00000f0c22433141,rolling_rssi_mean_3,991,5833,0.06578129965506463,0.000913684793194128
0.2,00800000a0001793,rolling_rssi_mean_3,282,3801,-0.1366419064785116,0.0001259852195439045
0.2,00800000a0001794,rolling_rssi_mean_3,280,3079,-0.040838862339349524,0.25720741509532197
0.2,00800000a0001914,rolling_rssi_mean_3,20,310,-0.047419354838709626,0.7231463108878491
0.2,7276ff002e062804,rolling_rssi_mean_3,1431,35615,-0.21652484893328405,5.505550933839403e-44
0.2,00000f0c22433141,snr_mean,991,5833,0.29135682482994985,7.87215879531237e-49
0.2,00800000a0001793,snr_mean,282,3801,0.6172013337288993,3.3943441166559127e-67
0.2,00800000a0001794,snr_mean,280,3079,0.19461907855054972,6.680762134263311e-08
0.2,00800000a0001914,snr_mean,20,310,0.26193548387096777,0.049725287252457444
0.2,7276ff002e062804,snr_mean,1431,35615,-0.0671944988199269,1.5836402737687037e-05
0.2,00000f0c22433141,rolling_snr_mean_3,991,5833,0.026307572195706896,0.18481289164145576
0.2,00800000a0001793,rolling_snr_mean_3,282,3801,-0.13171599112588883,0.00021906175307590133
0.2,00800000a0001794,rolling_snr_mean_3,280,3079,-0.051782814457384085,0.15081766199637942
0.2,00800000a0001914,rolling_snr_mean_3,20,310,-0.01774193548387093,0.8951516209859849
0.2,7276ff002e062804,rolling_snr_mean_3,1431,35615,-0.21510468003916017,1.9632517490962285e-43
0.2,00000f0c22433141,packet_count,991,5833,-0.07864332913589012,7.170968858952073e-05
0.2,00800000a0001793,packet_count,282,3801,-0.552793124616329,8.31625995993895e-55
0.2,00800000a0001794,packet_count,280,3079,-0.3739653412517979,1.9830954119842014e-25
0.2,00800000a0001914,packet_count,20,310,-0.06338709677419352,0.6344257572129612
0.2,7276ff002e062804,packet_count,1431,35615,-0.3814757030134269,1.0558140396610472e-132
0.2,00000f0c22433141,size_mean,991,5833,0.543487478511818,3.067326445963998e-165
0.2,00000f0c22433141,spreading_factor_mean,991,5833,-0.013908824197478964,0.48321766227854734
0.2,00800000a0001793,spreading_factor_mean,282,3801,0.04337604325849309,0.22224369721198145
0.2,00800000a0001794,spreading_factor_mean,280,3079,0.02061429963346173,0.5232810240409786
0.2,00800000a0001914,spreading_factor_mean,20,310,0.10419354838709682,0.4344435409361084
0.2,7276ff002e062804,spreading_factor_mean,1431,35615,0.05603777803481669,0.0003181893732288785
0.2,00000f0c22433141,frequency_nunique,991,5833,-0.1445740967524799,9.573002674448441e-14
0.2,00800000a0001793,frequency_nunique,282,3801,-0.5497321533527011,1.9316211361203736e-58
0.2,00800000a0001794,frequency_nunique,280,3079,-0.44092817705191856,9.284814825213834e-37
0.2,00800000a0001914,frequency_nunique,20,310,-0.3019354838709677,0.01860534859373096
0.2,7276ff002e062804,frequency_nunique,1431,35615,-0.23281965793627457,8.925798838333756e-54
