threshold,feature,event_n,non_event_n,event_raw_median,non_event_raw_median,event_gateway_standardized_median,non_event_gateway_standardized_median,cliffs_delta,mann_whitney_p
0.1,crc_success_rate,10782,61792,0.5,0.5454545454545454,0.3146853146853142,-0.06559099437148222,0.33452766479769824,0.0
0.1,prev_delta,10782,61792,0.08903831507062021,-0.00769854638467779,0.5547034052324207,-0.0776548435432346,0.4818380139434877,0.0
0.1,rssi_mean,10782,99366,-100.67470930232558,-100.9047619047619,0.07170971046530224,-0.0063638037687049715,0.11772886436494101,5.977422640996536e-90
0.1,rolling_rssi_mean_3,10782,99366,-101.25245911495912,-101.01856413063311,-0.09119916106799811,0.008502167716486951,0.010904957314366692,0.06249245113131576
0.1,snr_mean,10782,99366,-9.643303571428572,-5.39468535699879,0.1102780272572407,-0.011182705487892703,0.1586263588950272,1.0807736380052763e-161
0.1,rolling_snr_mean_3,10782,99366,-9.94854310812644,-5.423490303774342,-0.0724124173998919,0.0074159039595162474,0.043940534388505315,6.099617329132374e-14
0.1,packet_count,10782,99366,22.0,56.0,-0.2,0.015151515151515152,-0.11946151697663765,1.4104215811553496e-92
0.1,size_mean,2280,25476,20.83771929824561,20.697821962210455,0.48517543218003994,-0.04422265893406242,0.39914370732137305,1.650002573860773e-219
0.1,spreading_factor_mean,10782,99366,8.962962962962964,8.73453443877551,0.030477408354649033,0.0,0.051928871038301905,7.279479787917343e-19
0.1,frequency_nunique,10614,46211,6.0,6.0,-0.5,0.0,-0.1277708181832331,2.1106646875577225e-99
0.2,crc_success_rate,3004,69570,0.5483870967741935,0.5365853658536586,0.49538461538461526,-0.02497737556561092,0.439804208159424,0.0
0.2,prev_delta,3004,69570,0.14923284914795953,-0.0007770270949201685,0.8291976516275648,-0.008693907845433065,0.5803114461729624,0.0
0.2,rssi_mean,3004,107144,-102.0,-100.8409090909091,0.07419941009164459,-0.0016175122661351673,0.12513752849308268,1.0512115187852754e-31
0.2,rolling_rssi_mean_3,3004,107144,-102.3898275999363,-100.99311282331607,-0.17898207579559536,0.004627465210089443,-0.039946799821796164,0.00018392824415193926
0.2,snr_mean,3004,107144,-9.238235294117647,-5.6244269466316705,0.1515751179472981,-0.004077091982002785,0.16830413862181115,6.058993204605894e-56
0.2,rolling_snr_mean_3,3004,107144,-9.762790727790724,-5.692292226312576,-0.13057109575071169,0.004279860024381863,-0.03936340435804109,0.0002282507221357526
0.2,packet_count,3004,107144,18.0,53.0,-0.3684210526315789,0.0,-0.23069609805209568,1.736990788134634e-103
0.2,size_mean,991,26765,21.47058823529412,20.68807339449541,0.5877831419306077,-0.02257127693957895,0.4785021856525655,9.138444951272608e-145
0.2,spreading_factor_mean,3004,107144,8.68,8.75,0.013049450549450505,0.0,0.04993130006702029,2.9399161308053863e-06
0.2,frequency_nunique,3004,53821,5.0,6.0,-0.5,0.0,-0.18005760748920363,1.011173244102032e-65
