split_type,threshold,model,n,events,prevalence,ROC_AUC,PR_AUC,test_gateway
Time,0.1,Submitted LR,34682,3293,0.09494838821290583,0.9253718343287044,0.570905456642123,
Time,0.1,Sequence LR,34682,3293,0.09494838821290583,0.9175314045820818,0.5412786709342751,
Time,0.1,GRU,34682,3293,0.09494838821290583,0.9275314019699532,0.5750260041809611,
Time,0.2,Submitted LR,34682,655,0.018885877400380603,0.9608992140727044,0.3770214180900794,
Time,0.2,Sequence LR,34682,655,0.018885877400380603,0.9576546420141885,0.3800226827803579,
Time,0.2,GRU,34682,655,0.018885877400380603,0.9581880980460735,0.3828909537217558,
