threshold,model,valid_gateways,ROC_AUC_mean,ROC_AUC_sd,PR_AUC_mean,PR_AUC_sd
0.1,GRU,7,0.8085901449849358,0.03600468335141897,0.42447881978175434,0.2572942867169255
0.1,Sequence LR,7,0.7712648364351152,0.02866774956888069,0.39048845780952096,0.25115932581400974
0.1,Submitted LR,7,0.7876789999740009,0.03983876811962606,0.4178712454966011,0.2558736808746492
0.2,GRU,5,0.8655417812059005,0.04127281623629428,0.38179776537015775,0.034768767446718044
0.2,Sequence LR,5,0.8700317745216017,0.027694510368503,0.4147977911742912,0.053614729997401814
0.2,Submitted LR,5,0.8612386342941137,0.02267908960933633,0.38511505066045154,0.08015768188440005
