split_type,threshold,model,strategy,bin,count,mean_predicted,observed_rate,min_predicted,max_predicted,abs_gap,weight
Time,0.1,LogisticRegression,equal_width,0,16988,0.003818003173134872,5.88650812338121e-05,0.0004118934098231543,0.09997286133087872,0.0037591380919010597,0.47484347048300535
Time,0.1,LogisticRegression,equal_width,1,1633,0.15336237528766003,0.009185548071034905,0.10002293602283033,0.19987732942542236,0.14417682721662511,0.045645125223613595
Time,0.1,LogisticRegression,equal_width,2,1965,0.25014006592231436,0.014249363867684479,0.20013829733087385,0.2998391624695947,0.2358907020546299,0.05492508944543828
Time,0.1,LogisticRegression,equal_width,3,2078,0.35078794927494333,0.0356111645813282,0.30007015734797154,0.3999782528815537,0.31517678469361515,0.05808363148479428
Time,0.1,LogisticRegression,equal_width,4,2122,0.4509393486748721,0.06503298774740811,0.4000389770143437,0.49993328082298777,0.385906360927464,0.05931350626118068
Time,0.1,LogisticRegression,equal_width,5,2296,0.5485260685724198,0.09799651567944251,0.5000257189524228,0.5999298546949703,0.4505295528929773,0.06417710196779965
Time,0.1,LogisticRegression,equal_width,6,2299,0.649302744522364,0.1661591996520226,0.6000491801609873,0.6999802832843387,0.4831435448703414,0.06426095706618963
Time,0.1,LogisticRegression,equal_width,7,2273,0.7494891276673489,0.24505059392872855,0.7000387062085355,0.7998988447781954,0.5044385337386204,0.06353421288014312
Time,0.1,LogisticRegression,equal_width,8,2230,0.849254386836676,0.39327354260089686,0.8000473585522125,0.8999931270619084,0.4559808442357791,0.06233228980322004
Time,0.1,LogisticRegression,equal_width,9,1892,0.9468933811866126,0.6506342494714588,0.9000032373476408,0.9998282695955539,0.29625913171515383,0.052884615384615384
Time,0.1,LogisticRegression,equal_frequency,0,3578,0.0007445683502558192,0.0,0.0004118934098231543,0.0009795203658043803,0.0007445683502558192,0.10001118067978533
Time,0.1,LogisticRegression,equal_frequency,1,3578,0.001084824572632525,0.0,0.0009795868622577114,0.0011664182414429295,0.001084824572632525,0.10001118067978533
Time,0.1,LogisticRegression,equal_frequency,2,3577,0.0012335642216767645,0.0,0.0011665025524010726,0.0013009804923398973,0.0012335642216767645,0.099983228980322
Time,0.1,LogisticRegression,equal_frequency,3,3578,0.0013830003564228436,0.0,0.0013009916930399072,0.0014873278780534044,0.0013830003564228436,0.10001118067978533
Time,0.1,LogisticRegression,equal_frequency,4,3577,0.046804389118723616,0.0008386916410399776,0.0014873287705308286,0.15961965110064016,0.045965697477683636,0.099983228980322
Time,0.1,LogisticRegression,equal_frequency,5,3578,0.2533964761560696,0.01872554499720514,0.1596991986371313,0.3438412525592139,0.23467093115886445,0.10001118067978533
Time,0.1,LogisticRegression,equal_frequency,6,3577,0.4284753496914128,0.0575901593514118,0.34394647766174824,0.5113121740211413,0.370885190340001,0.099983228980322
Time,0.1,LogisticRegression,equal_frequency,7,3578,0.5878604936090434,0.12437115707098938,0.5113278150948047,0.6651629380289414,0.46348933653805396,0.10001118067978533
Time,0.1,LogisticRegression,equal_frequency,8,3577,0.7448572275782934,0.2446183953033268,0.6651739345922448,0.8242862831980905,0.5002388322749667,0.099983228980322
Time,0.1,LogisticRegression,equal_frequency,9,3578,0.9064880726499034,0.5399664617104528,0.8243115932306899,0.9998282695955539,0.36652161093945057,0.10001118067978533
Time,0.1,RandomForest,equal_width,0,16032,0.030841509713613543,0.0,0.0005090829999086828,0.0999838505230021,0.030841509713613543,0.4481216457960644
Time,0.1,RandomForest,equal_width,1,393,0.1412295259371075,0.0,0.10017211648505374,0.19979784254882227,0.1412295259371075,0.010985017889087657
Time,0.1,RandomForest,equal_width,2,1831,0.25488446835932327,0.01474604041507373,0.20005746303282312,0.299984255983619,0.24013842794424953,0.05117956171735241
Time,0.1,RandomForest,equal_width,3,2732,0.3523539172284862,0.04209370424597365,0.3000030844824034,0.39998241387823324,0.31026021298251255,0.07636404293381037
Time,0.1,RandomForest,equal_width,4,2914,0.450881402349658,0.08133150308853809,0.4000028264571349,0.499970770148765,0.3695498992611199,0.08145125223613596
Time,0.1,RandomForest,equal_width,5,3469,0.5517321075659765,0.12424329778034016,0.5000263809023576,0.5999586914354453,0.4274888097856363,0.09696444543828264
Time,0.1,RandomForest,equal_width,6,3557,0.64801319553672,0.20747821197638458,0.6000500265689159,0.6999827795876524,0.4405349835603354,0.09942419499105545
Time,0.1,RandomForest,equal_width,7,3085,0.7495169812000843,0.3546191247974068,0.7000110034691837,0.7999592435023096,0.39489785640267744,0.08623099284436493
Time,0.1,RandomForest,equal_width,8,1763,0.833699808537465,0.5025524673851389,0.8000305932653758,0.8955532624891785,0.331147341152326,0.04927884615384615
Time,0.1,RandomForest,equal_frequency,0,3578,0.005137307991100268,0.0,0.0005090829999086828,0.013452687985928448,0.005137307991100268,0.10001118067978533
Time,0.1,RandomForest,equal_frequency,1,3578,0.018041552356821672,0.0,0.013454419811491994,0.02299367929434007,0.018041552356821672,0.10001118067978533
Time,0.1,RandomForest,equal_frequency,2,3577,0.029461480003494297,0.0,0.022995378151316186,0.03673184180777616,0.029461480003494297,0.099983228980322
Time,0.1,RandomForest,equal_frequency,3,3578,0.048202730710206566,0.0,0.03673655205695742,0.06369732280942612,0.048202730710206566,0.10001118067978533
Time,0.1,RandomForest,equal_frequency,4,3577,0.1533027838934823,0.0061504053676265024,0.06371216931885487,0.28402335098241543,0.14715237852585578,0.099983228980322
Time,0.1,RandomForest,equal_frequency,5,3578,0.3536481948771676,0.04164337618781442,0.2841415235540119,0.4173737630285544,0.31200481868935315,0.10001118067978533
Time,0.1,RandomForest,equal_frequency,6,3577,0.4778807911117209,0.0953312831982108,0.4173904717911578,0.5353878096529491,0.38254950791351006,0.099983228980322
Time,0.1,RandomForest,equal_frequency,7,3578,0.585094564290687,0.14253773057574065,0.5353935223190232,0.6320309622112251,0.4425568337149463,0.10001118067978533
Time,0.1,RandomForest,equal_frequency,8,3577,0.6845819354891696,0.2535644394744199,0.6320804721112787,0.7401708005796171,0.43101749601474965,0.099983228980322
Time,0.1,RandomForest,equal_frequency,9,3578,0.8015817368104647,0.44689770821688096,0.7402927079905809,0.8955532624891785,0.3546840285935838,0.10001118067978533
Time,0.1,XGBoost,equal_width,0,17787,0.010819919407367706,0.0008433125316242199,0.001939838519319892,0.09990701824426651,0.009976606875743487,0.49717687835420393
Time,0.1,XGBoost,equal_width,1,2140,0.14986801147460938,0.037383177570093455,0.1000058576464653,0.19996313750743866,0.11248483390451591,0.059816636851520576
Time,0.1,XGBoost,equal_width,2,1836,0.24829219281673431,0.054466230936819175,0.20003753900527954,0.29997411370277405,0.19382596187991513,0.051319320214669055
Time,0.1,XGBoost,equal_width,3,1830,0.3504459261894226,0.06775956284153005,0.3001956343650818,0.39998185634613037,0.28268636334789254,0.051151610017889086
Time,0.1,XGBoost,equal_width,4,1942,0.4508119523525238,0.07775489186405768,0.40006670355796814,0.49999356269836426,0.3730570604884661,0.05428220035778175
Time,0.1,XGBoost,equal_width,5,2135,0.5502364635467529,0.13395784543325526,0.5000479817390442,0.5999663472175598,0.41627861811349764,0.05967687835420393
Time,0.1,XGBoost,equal_width,6,2205,0.6514979600906372,0.18639455782312925,0.600049614906311,0.699908971786499,0.46510340226750796,0.06163349731663685
Time,0.1,XGBoost,equal_width,7,2409,0.7492046356201172,0.25861353258613534,0.7000065445899963,0.7999516129493713,0.49059110303398185,0.06733564400715564
Time,0.1,XGBoost,equal_width,8,2423,0.8495803475379944,0.424267437061494,0.8000308275222778,0.8999574780464172,0.4253129104765004,0.06772696779964221
Time,0.1,XGBoost,equal_width,9,1069,0.926081120967865,0.6641721234798877,0.9000484347343445,0.9713384509086609,0.26190899748797725,0.02988036672629696
Time,0.1,XGBoost,equal_frequency,0,3610,0.002090524649247527,0.0,0.001939838519319892,0.0023596270475536585,0.002090524649247527,0.10090563506261181
Time,0.1,XGBoost,equal_frequency,1,3552,0.002569773932918906,0.0,0.0023653991520404816,0.002850923454388976,0.002569773932918906,0.09928443649373882
Time,0.1,XGBoost,equal_frequency,2,3585,0.003548804670572281,0.0,0.0028592979069799185,0.00445790309458971,0.003548804670572281,0.10020684257602862
Time,0.1,XGBoost,equal_frequency,3,3628,0.007575227878987789,0.0,0.00446115480735898,0.013526148162782192,0.007575227878987789,0.1014087656529517
Time,0.1,XGBoost,equal_frequency,4,3513,0.04153205826878548,0.005123825789923143,0.013662051409482956,0.10479705780744553,0.03640823247886234,0.09819432021466905
Time,0.1,XGBoost,equal_frequency,5,3578,0.18999303877353668,0.04332029066517608,0.10483360290527344,0.28258854150772095,0.14667274810836062,0.10001118067978533
Time,0.1,XGBoost,equal_frequency,6,3577,0.3810121715068817,0.0712887894883981,0.28263920545578003,0.47667399048805237,0.3097233820184836,0.099983228980322
Time,0.1,XGBoost,equal_frequency,7,3578,0.5611501932144165,0.13415315818893236,0.4766826629638672,0.6458972692489624,0.42699703502548414,0.10001118067978533
Time,0.1,XGBoost,equal_frequency,8,3577,0.7213008999824524,0.23790886217500698,0.6459020972251892,0.7960819602012634,0.48339203780744544,0.099983228980322
Time,0.1,XGBoost,equal_frequency,9,3578,0.8711956739425659,0.49441028507546114,0.7961378693580627,0.9713384509086609,0.3767853888671048,0.10001118067978533
LOGO,0.1,LogisticRegression,equal_width,0,34882,0.023232025089821993,0.019895648185310474,2.5870177559723126e-08,0.09997270951125753,0.0033363769045115198,0.48066031886015076
LOGO,0.1,LogisticRegression,equal_width,1,9797,0.14659453310652254,0.10411350413391855,0.10000003883746361,0.1999907565223244,0.04248102897260399,0.13499882873324054
LOGO,0.1,LogisticRegression,equal_width,2,6655,0.24677158892929038,0.16784372652141247,0.20000439883205376,0.2999815167891876,0.07892786240787791,0.09170329746041807
LOGO,0.1,LogisticRegression,equal_width,3,4717,0.34695629975054687,0.23595505617977527,0.30000561237567774,0.3998755699084221,0.1110012435707716,0.06499841534497251
LOGO,0.1,LogisticRegression,equal_width,4,3294,0.44771195287906934,0.2965998785670917,0.40001955572304154,0.4999958994167824,0.15111207431197765,0.04539003183089664
LOGO,0.1,LogisticRegression,equal_width,5,2541,0.5473021425138143,0.3722943722943723,0.5000259751583122,0.5999876703796,0.17500777021944197,0.03501398630306872
LOGO,0.1,LogisticRegression,equal_width,6,2070,0.6481385505339137,0.43381642512077295,0.6001312316155503,0.6999466697510471,0.21432212541314072,0.028523790494825757
LOGO,0.1,LogisticRegression,equal_width,7,1622,0.7493053549920395,0.46732429099876693,0.7000794764663478,0.7998041497505072,0.2819810639932726,0.022350525692080857
LOGO,0.1,LogisticRegression,equal_width,8,1527,0.8495119917151792,0.43876882776686316,0.8002179251162906,0.899832246536572,0.41074316394831606,0.02104146284328451
LOGO,0.1,LogisticRegression,equal_width,9,5466,0.9777200304699594,0.47365532381997805,0.90002106018444,0.9999999799344763,0.5040647066499813,0.07531934243706163
LOGO,0.1,LogisticRegression,equal_frequency,0,7258,3.929048181515659e-06,0.004408928079360706,2.5870177559723126e-08,8.971136358899637e-06,0.00440499903117919,0.10001240164804123
LOGO,0.1,LogisticRegression,equal_frequency,1,7257,3.2972909308966084e-05,0.012539616921592944,8.971379070226812e-06,0.00010288615195553398,0.012506644012283978,0.09999862203910653
LOGO,0.1,LogisticRegression,equal_frequency,2,7257,0.011406589687243984,0.011299435028248588,0.00010289460399581221,0.022482685046327347,0.00010715465899539638,0.09999862203910653
LOGO,0.1,LogisticRegression,equal_frequency,3,7257,0.03759203994925196,0.02411464792614028,0.02248831015558362,0.056980980557705535,0.013477392023111684,0.09999862203910653
LOGO,0.1,LogisticRegression,equal_frequency,4,7257,0.08313773468869952,0.05897753892793165,0.05699184232342707,0.11203491729074178,0.024160195760767868,0.09999862203910653
LOGO,0.1,LogisticRegression,equal_frequency,5,7257,0.14720686274188602,0.10610445087501723,0.11204859714930801,0.18593282274622455,0.04110241186686879,0.09999862203910653
LOGO,0.1,LogisticRegression,equal_frequency,6,7257,0.23477455192855284,0.15764089844288273,0.18594305606108052,0.2903413016399631,0.07713365348567011,0.09999862203910653
LOGO,0.1,LogisticRegression,equal_frequency,7,7257,0.3655142875949686,0.24776078269257268,0.29034556889061436,0.4575202497155341,0.11775350490239594,0.09999862203910653
LOGO,0.1,LogisticRegression,equal_frequency,8,7257,0.6001338746669311,0.3947912360479537,0.4575487316951676,0.7832410269801608,0.20534263861897745,0.09999862203910653
LOGO,0.1,LogisticRegression,equal_frequency,9,7257,0.9439706756712787,0.46809976574342016,0.7832600499038616,0.9999999799344763,0.4758709099278585,0.09999862203910653
LOGO,0.1,RandomForest,equal_width,0,578,0.05729792266232605,0.0034602076124567475,0.03292147171157101,0.09991176476395498,0.053837715049869304,0.007964613964255695
LOGO,0.1,RandomForest,equal_width,1,1134,0.15945071208590855,0.001763668430335097,0.1000226526721062,0.19996502825648677,0.15768704365557346,0.015626076531948023
LOGO,0.1,RandomForest,equal_width,2,10840,0.2571179693564667,0.003136531365313653,0.20000928794775175,0.2999959521691601,0.253981437991153,0.14937096085213103
LOGO,0.1,RandomForest,equal_width,3,14807,0.35146111446629374,0.035321131897075704,0.3000106530101784,0.3999990345025923,0.31613998256921805,0.2040346694960797
LOGO,0.1,RandomForest,equal_width,4,15168,0.45108428850252896,0.09724419831223628,0.4000100728808726,0.499995044316204,0.35384009019029267,0.20900910832150585
LOGO,0.1,RandomForest,equal_width,5,17479,0.548027877665728,0.2184907603409806,0.5000081682268736,0.5999974124450062,0.32953711732474744,0.24085378456959392
LOGO,0.1,RandomForest,equal_width,6,8233,0.6432816306102713,0.35272683104579133,0.6000112821498514,0.6999834751713445,0.29055479956448,0.1134475203593722
LOGO,0.1,RandomForest,equal_width,7,3116,0.7412692940251897,0.44223363286264444,0.7000205770891447,0.7999868790356054,0.29903566116254526,0.04293726144052032
LOGO,0.1,RandomForest,equal_width,8,1216,0.8352601243918543,0.5304276315789473,0.8000015196630661,0.8962871865836852,0.3048324928129069,0.016756004464593296
LOGO,0.1,RandomForest,equal_frequency,0,7258,0.20934115067504833,0.0017911270322402866,0.03292147171157101,0.2595760925562438,0.20755002364280803,0.10001240164804123
LOGO,0.1,RandomForest,equal_frequency,1,7257,0.2872283256515522,0.005098525561526802,0.2595772751320401,0.3141553539342928,0.2821298000900254,0.09999862203910653
LOGO,0.1,RandomForest,equal_frequency,2,7257,0.33996021281193906,0.02824858757062147,0.31416536207489126,0.36416205161921406,0.31171162524131757,0.09999862203910653
LOGO,0.1,RandomForest,equal_frequency,3,7257,0.3873790449982072,0.0592531349042304,0.3641622502522908,0.41056935175528136,0.3281259100939768,0.09999862203910653
LOGO,0.1,RandomForest,equal_frequency,4,7257,0.4357497906666275,0.08515915667631252,0.4105788592903687,0.4610752514545335,0.350590633990315,0.09999862203910653
LOGO,0.1,RandomForest,equal_frequency,5,7257,0.48419647816142436,0.12112443158329889,0.46107534197533784,0.5057473789511971,0.3630720465781255,0.09999862203910653
LOGO,0.1,RandomForest,equal_frequency,6,7257,0.525417879816073,0.17238528317486565,0.5057504923917433,0.5449948029574588,0.35303259664120734,0.09999862203910653
LOGO,0.1,RandomForest,equal_frequency,7,7257,0.5649213306406736,0.24858757062146894,0.5450074415582774,0.5859909276884459,0.31633376001920466,0.09999862203910653
LOGO,0.1,RandomForest,equal_frequency,8,7257,0.6165108987323659,0.3326443433925865,0.5859985756446673,0.6550200296702461,0.2838665553397794,0.09999862203910653
LOGO,0.1,RandomForest,equal_frequency,9,7257,0.7307478757698935,0.4314455008956869,0.6550249329293366,0.8962871865836852,0.29930237487420663,0.09999862203910653
LOGO,0.1,XGBoost,equal_width,0,4010,0.06720954179763794,0.010224438902743141,0.002364553278312087,0.09993039071559906,0.0569851028948948,0.05525623182814072
LOGO,0.1,XGBoost,equal_width,1,11760,0.1513935774564743,0.01904761904761905,0.10004189610481262,0.19998851418495178,0.13234595840885527,0.1620482010720536
LOGO,0.1,XGBoost,equal_width,2,15211,0.2511303126811981,0.03872197751627112,0.20000497996807098,0.2999989986419678,0.212408335164927,0.20960163150569786
LOGO,0.1,XGBoost,equal_width,3,10752,0.34507855772972107,0.08705357142857142,0.3000004291534424,0.3999817669391632,0.2580249863011497,0.14815835526587756
LOGO,0.1,XGBoost,equal_width,4,7434,0.44717350602149963,0.14527845036319612,0.400004506111145,0.49994754791259766,0.30189505565830355,0.10243761282054815
LOGO,0.1,XGBoost,equal_width,5,6086,0.5485466718673706,0.19996713769306607,0.50001060962677,0.5999960899353027,0.34857953417430454,0.08386269997657467
LOGO,0.1,XGBoost,equal_width,6,5467,0.6490771174430847,0.28772635814889336,0.6000328660011292,0.6999718546867371,0.36135075929419136,0.07533312204599633
LOGO,0.1,XGBoost,equal_width,7,4688,0.7499620914459229,0.3370307167235495,0.7000043988227844,0.7999988794326782,0.41293137472237335,0.06459880668586626
LOGO,0.1,XGBoost,equal_width,8,5014,0.8493353128433228,0.4419625049860391,0.8000000715255737,0.8999917507171631,0.40737280785728364,0.06909095919857794
LOGO,0.1,XGBoost,equal_width,9,2149,0.9249622225761414,0.6170311772917636,0.900075376033783,0.977899968624115,0.30793104528437776,0.029612379600666934
LOGO,0.1,XGBoost,equal_frequency,0,7258,0.08834795653820038,0.011160099200881785,0.002364553278312087,0.12931981682777405,0.07718785733731859,0.10001240164804123
LOGO,0.1,XGBoost,equal_frequency,1,7257,0.16032610833644867,0.019842910293509715,0.12934954464435577,0.1907099485397339,0.14048319804293896,0.09999862203910653
LOGO,0.1,XGBoost,equal_frequency,2,7257,0.2170005738735199,0.03872123466997382,0.19071732461452484,0.24233555793762207,0.17827933920354608,0.09999862203910653
LOGO,0.1,XGBoost,equal_frequency,3,7257,0.2643151879310608,0.035276284966239496,0.2423517405986786,0.2864876985549927,0.2290389029648213,0.09999862203910653
LOGO,0.1,XGBoost,equal_frequency,4,7257,0.3129537105560303,0.0643516604657572,0.28649136424064636,0.34146231412887573,0.24860205009027309,0.09999862203910653
LOGO,0.1,XGBoost,equal_frequency,5,7257,0.3796568512916565,0.11092738046024528,0.3414705693721771,0.42179685831069946,0.2687294708314112,0.09999862203910653
LOGO,0.1,XGBoost,equal_frequency,6,7257,0.4710250794887543,0.15336916081025218,0.42180830240249634,0.5259000062942505,0.31765591867850207,0.09999862203910653
LOGO,0.1,XGBoost,equal_frequency,7,7257,0.5860488414764404,0.2298470442331542,0.5259085893630981,0.6492923498153687,0.35620179724328627,0.09999862203910653
LOGO,0.1,XGBoost,equal_frequency,8,7261,0.721688985824585,0.32860487536152044,0.6493645310401917,0.7984899282455444,0.3930841104630645,0.10005374047484532
LOGO,0.1,XGBoost,equal_frequency,9,7253,0.871120810508728,0.4937267337653385,0.7985008955001831,0.977899968624115,0.37739407674338954,0.09994350360336773
Time,0.2,LogisticRegression,equal_width,0,21128,0.014612623283550006,9.46611132146914e-05,7.704174431228781e-05,0.09991884356274734,0.014517962170335314,0.5905635062611807
Time,0.2,LogisticRegression,equal_width,1,3479,0.147770735156896,0.0014371945961483186,0.10008524455975716,0.19996127858525867,0.14633354056074768,0.09724396243291591
Time,0.2,LogisticRegression,equal_width,2,2522,0.2466501774515472,0.0027755749405233942,0.2000108433541276,0.29998265805212176,0.2438746025110238,0.07049418604651163
Time,0.2,LogisticRegression,equal_width,3,1871,0.34745521143020713,0.00694815606627472,0.30003087463686345,0.39986308698489165,0.3405070553639324,0.05229762969588551
Time,0.2,LogisticRegression,equal_width,4,1511,0.4482607471453067,0.01257445400397088,0.4000387798727837,0.4999659719442226,0.43568629314133583,0.04223501788908766
Time,0.2,LogisticRegression,equal_width,5,1350,0.5490298957164738,0.0362962962962963,0.5000086366333782,0.5999705540959083,0.5127335994201775,0.03773479427549195
Time,0.2,LogisticRegression,equal_width,6,1107,0.6487350557599503,0.05420054200542006,0.6000769946997285,0.6997404729146577,0.5945345137545303,0.0309425313059034
Time,0.2,LogisticRegression,equal_width,7,985,0.7494106512003952,0.0883248730964467,0.7001448810656526,0.7999119378987928,0.6610857781039485,0.02753242397137746
Time,0.2,LogisticRegression,equal_width,8,900,0.8490756192195724,0.16666666666666666,0.8001810363161823,0.8998479841713994,0.6824089525529058,0.025156529516994635
Time,0.2,LogisticRegression,equal_width,9,923,0.9495377923678724,0.38136511375947996,0.9001021427637698,0.9998179643941139,0.5681726786083925,0.025799418604651164
Time,0.2,LogisticRegression,equal_frequency,0,3578,0.0009104974440604675,0.0,7.704174431228781e-05,0.0015416677233683236,0.0009104974440604675,0.10001118067978533
Time,0.2,LogisticRegression,equal_frequency,1,3578,0.002227574561092159,0.0,0.0015428383977188313,0.002830583105263205,0.002227574561092159,0.10001118067978533
Time,0.2,LogisticRegression,equal_frequency,2,3577,0.0033967224334905443,0.0,0.0028306092676484585,0.003993827937075779,0.0033967224334905443,0.099983228980322
Time,0.2,LogisticRegression,equal_frequency,3,3578,0.004761970135778774,0.0,0.0039939603598528285,0.00576737770538188,0.004761970135778774,0.10001118067978533
Time,0.2,LogisticRegression,equal_frequency,4,3577,0.014034764676805348,0.0,0.0057674645690333,0.03724708629410832,0.014034764676805348,0.099983228980322
Time,0.2,LogisticRegression,equal_frequency,5,3578,0.07080720543648504,0.0008384572386808273,0.03727765688395043,0.10847230410281605,0.06996874819780421,0.10001118067978533
Time,0.2,LogisticRegression,equal_frequency,6,3577,0.15912015944699456,0.0013978194017332962,0.10854521773950548,0.21438974614821996,0.15772234004526126,0.099983228980322
Time,0.2,LogisticRegression,equal_frequency,7,3578,0.2892885650080311,0.004192286193404136,0.214412731761592,0.3766507871747502,0.28509627881462696,0.10001118067978533
Time,0.2,LogisticRegression,equal_frequency,8,3577,0.4954595285865336,0.023203802068772716,0.37665807730850215,0.6291952949029015,0.4722557265177609,0.099983228980322
Time,0.2,LogisticRegression,equal_frequency,9,3578,0.8076915415063805,0.17831190609278927,0.6292409343674342,0.9998179643941139,0.6293796354135912,0.10001118067978533
Time,0.2,RandomForest,equal_width,0,17072,0.01843583103498105,0.00023430178069353328,3.5314910136263075e-05,0.09999848945858607,0.018201529254287516,0.47719141323792486
Time,0.2,RandomForest,equal_width,1,5465,0.1475247246543828,0.003110704483074108,0.10002027177767528,0.19998798343875274,0.1444140201713087,0.15275603756708409
Time,0.2,RandomForest,equal_width,2,3605,0.2500288650307809,0.007212205270457697,0.2000131258640779,0.29982967841695246,0.24281665976032324,0.10076587656529518
Time,0.2,RandomForest,equal_width,3,3006,0.3463571594090214,0.017964071856287425,0.3000307530805148,0.39992663460552935,0.328393087552734,0.08402280858676207
Time,0.2,RandomForest,equal_width,4,2239,0.4484026254627939,0.0321572130415364,0.40010766545300386,0.49993303070381595,0.4162454124212575,0.06258385509838998
Time,0.2,RandomForest,equal_width,5,1702,0.5466700658131612,0.05875440658049354,0.5000110480839941,0.5996941355760538,0.4879156592326677,0.04757379248658319
Time,0.2,RandomForest,equal_width,6,1245,0.6473967217443414,0.13975903614457832,0.6000056830055263,0.6999254775334575,0.5076376855997631,0.03479986583184257
Time,0.2,RandomForest,equal_width,7,1004,0.749744819341471,0.16633466135458166,0.7000909068722404,0.7999971287194405,0.5834101579868893,0.02806350626118068
Time,0.2,RandomForest,equal_width,8,436,0.8358379531905292,0.2981651376146789,0.8000661559570023,0.8987948843794263,0.5376728155758503,0.012186940966010733
Time,0.2,RandomForest,equal_width,9,2,0.903298775890496,0.0,0.9021494179025723,0.9044481338784196,0.903298775890496,5.590339892665474e-05
Time,0.2,RandomForest,equal_frequency,0,3722,8.209325093898e-05,0.0,3.5314910136263075e-05,0.00032605074524752665,8.209325093898e-05,0.10403622540250447
Time,0.2,RandomForest,equal_frequency,1,3435,0.0029647814650750493,0.0,0.0003284466659002788,0.007063160836349314,0.0029647814650750493,0.09601408765652952
Time,0.2,RandomForest,equal_frequency,2,3577,0.01193387329433166,0.0,0.007065117728375615,0.016151540370151034,0.01193387329433166,0.099983228980322
Time,0.2,RandomForest,equal_frequency,3,3577,0.023951962299810232,0.0,0.016151838838061535,0.0350386717966794,0.023951962299810232,0.099983228980322
Time,0.2,RandomForest,equal_frequency,4,3577,0.0738846534824563,0.0011182555213866368,0.03505600940878482,0.11571068018532295,0.07276639796106966,0.099983228980322
Time,0.2,RandomForest,equal_frequency,5,3578,0.14461761869680698,0.0030743432084963667,0.11571183692915547,0.17497553217287007,0.1415432754883106,0.10001118067978533
Time,0.2,RandomForest,equal_frequency,6,3577,0.22035309505201447,0.005311713726586525,0.17498676671771785,0.2694224127418355,0.21504138132542794,0.099983228980322
Time,0.2,RandomForest,equal_frequency,7,3578,0.3212304386755999,0.015371716042481833,0.2695137655865776,0.37932291986044847,0.3058587226331181,0.10001118067978533
