window,threshold,Accuracy_mean,Accuracy_std,Accuracy_count,BalancedAcc_mean,BalancedAcc_std,BalancedAcc_count,Precision_mean,Precision_std,Precision_count,Recall_mean,Recall_std,Recall_count,F1_mean,F1_std,F1_count,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_count,PR_AUC_mean,PR_AUC_std,PR_AUC_count,PositiveRate_mean,PositiveRate_std,PositiveRate_count,PositiveCount_mean,PositiveCount_std,PositiveCount_count,test_samples_mean,test_samples_std,test_samples_count,test_event_rate_mean,test_event_rate_std,test_event_rate_count
10min,0.1,0.7424943663312694,0.2019262257326443,8,0.6636391038330465,0.1185473331360282,8,0.2674223849603804,0.17440442893046232,8,0.6292223252923447,0.434626757967558,8,0.36127447903672216,0.23179782893470172,8,0.8290093594649677,0.0689921132092854,8,0.4258112780699898,0.2774232928262594,8,0.13868215009848145,0.09380089919259936,8,535.0,655.7784904763411,8,5074.75,5993.491892997652,8,0.13868215009848145,0.09380089919259936,8
10min,0.2,0.6840466838390192,0.22370889839358055,8,0.693703259827984,0.13205391962398677,8,0.07761918667731983,0.06695059152191381,8,0.7199542353309886,0.4450809050000691,8,0.1372371173128727,0.11513535501655742,8,0.9014263098722338,0.03933678340675883,8,0.2769393838190715,0.22601473553937182,8,0.03777311382292276,0.03267416876436353,8,104.125,122.90581469448175,8,5074.75,5993.491892997652,8,0.03777311382292276,0.03267416876436353,8
15min,0.1,0.767867269958372,0.18336101559252238,8,0.706104435529658,0.14642032094672924,8,0.21244440101922984,0.149128592361397,8,0.6715321099340921,0.41930821195096074,8,0.319600410423842,0.21522968134128406,8,0.7730271773265202,0.18460587238525747,8,0.3705166462915199,0.25356963166070584,8,0.0948903917658331,0.07261249863718182,8,291.625,325.033157649229,8,3688.25,3827.6392855126774,8,0.0948903917658331,0.07261249863718182,8
15min,0.2,0.7958528460366795,0.1556221199446484,6,0.7958720216410575,0.10051119597631841,6,0.12354869429578262,0.07943369154737186,6,0.7966822772124575,0.1558654689171784,6,0.20569101913852036,0.12750251060229756,6,0.8826383856693356,0.06937326121147995,6,0.25115487467815306,0.18342748160282793,6,0.024012241477371937,0.01987474250479758,6,59.0,61.94836559587347,6,3755.0,4387.243690519139,6,0.024012241477371937,0.01987474250479758,6
1min,0.1,0.6078168729760033,0.2048521370270442,5,0.6537579874785473,0.06009658588181804,5,0.42941611092864773,0.2235768785124586,5,0.7187501331240161,0.33253297859309283,5,0.45327004392915404,0.1808681139337407,5,0.8116633823264232,0.03948811088223544,5,0.5506822079449657,0.1704357936537218,5,0.2509329337361185,0.12321467781102373,5,3778.2,4634.217053613264,5,23549.8,32626.353637818615,5,0.2509329337361185,0.12321467781102373,5
1min,0.2,0.7184623736901223,0.14063214272367977,5,0.7438751978443033,0.024435777545987157,5,0.20953900983373536,0.15211771642747782,5,0.785434134740361,0.1646236817248211,5,0.30327320646934125,0.17936600345725467,5,0.8354189059979295,0.027688073192534145,5,0.31175943873024947,0.1936226629671909,5,0.09416209557140184,0.08087436098461635,5,761.2,792.8339674862575,5,23549.8,32626.353637818615,5,0.09416209557140184,0.08087436098461635,5
5min,0.1,0.7578364748232337,0.2017404044595788,7,0.6174557330834795,0.08561773875320995,7,0.3141578416219374,0.2368537674176952,7,0.49613569506012756,0.4146110200630805,7,0.3471100094312241,0.2389290860993831,7,0.785732080000406,0.042966591042198264,7,0.40671546832039585,0.24971783920897553,7,0.1667368150938857,0.11402517953403717,7,1540.2857142857142,2396.596247061355,7,10367.285714285714,12711.771915751764,7,0.1667368150938857,0.11402517953403717,7
5min,0.2,0.7229251678964224,0.19551931284861127,5,0.7100625193313937,0.06835773174899716,5,0.26526031805195116,0.12758282266352047,5,0.707676802978531,0.35170543502190177,5,0.31773051571215927,0.0754013576037855,5,0.8682223557200087,0.027389808652645703,5,0.3757482940705724,0.07023629724986771,5,0.07937629217572437,0.04022023075955518,5,600.8,588.0822221424484,5,10328.4,15113.375939875246,5,0.07937629217572437,0.04022023075955518,5
