Accuracy,BalancedAcc,Precision,Recall,F1,ROC_AUC,PR_AUC,PositiveRate,PositiveCount,NegativeCount,valid_binary_test,threshold,train_samples,test_samples,feature_count,window,split_type,test_gateway,total_samples,overall_event_rate,test_event_rate,date_count
1.0,1.0,0.0,0.0,0.0,,,0.0,0,128387,0,0.1,117757,128387,33,1min,leave_one_gateway_out,0000024b0b031c97,246144,0.07547614404576183,0.0,187
0.5090747605807847,0.6807880411973123,0.2168211335981338,0.9219839142091153,0.3510795773569496,0.8148448738848159,0.4366457911663038,0.14403768921841212,3730,22166,1,0.1,220248,25896,33,1min,leave_one_gateway_out,00000f0c210281c4,246144,0.07547614404576183,0.14403768921841212,187
0.28455862743354965,0.5785933350795003,0.1672761188505781,0.9922718889962238,0.2862898117414549,0.8091206799622873,0.4147018297867774,0.14460967959056678,11387,67356,1,0.1,167401,78743,33,1min,leave_one_gateway_out,00000f0c210721f2,246144,0.07547614404576183,0.14460967959056678,187
0.6721311475409836,0.7161111111111111,0.5581395348837209,0.96,0.7058823529411765,0.8822222222222222,0.8318320969536142,0.4098360655737705,25,36,1,0.1,246083,61,33,1min,leave_one_gateway_out,00000f0c22433141,246144,0.07547614404576183,0.4098360655737705,187
0.782608695652174,0.612050488211479,0.509090909090909,0.3076923076923077,0.3835616438356164,0.7583438233593033,0.4457972536461505,0.21980676328502416,91,323,1,0.1,245730,414,33,1min,leave_one_gateway_out,00800000a0001793,246144,0.07547614404576183,0.21980676328502416,187
0.7742777997625643,0.6472511709554771,0.62136878385032,0.3772795216741405,0.4694940476190476,0.7993982632369053,0.5811377115703263,0.26474079936683814,3345,9290,1,0.1,233509,12635,33,1min,leave_one_gateway_out,7276ff002e062804,246144,0.07547614404576183,0.26474079936683814,187
1.0,1.0,0.0,0.0,0.0,,,0.0,0,128387,0,0.2,117757,128387,33,1min,leave_one_gateway_out,0000024b0b031c97,246144,0.014934347373894956,0.0,187
0.7639789928946555,0.7690848133764123,0.06790219591963868,0.7744227353463587,0.12485681557846506,0.8485633528364881,0.1405768025981838,0.021740809391411802,563,25333,1,0.2,220248,25896,33,1min,leave_one_gateway_out,00000f0c210281c4,246144,0.014934347373894956,0.021740809391411802,187
0.8239970537063612,0.7733096980907033,0.07693894389438943,0.7205408886027045,0.13903211778592284,0.8566493546209847,0.1416981888931871,0.019722388021792412,1553,77190,1,0.2,167401,78743,33,1min,leave_one_gateway_out,00000f0c210721f2,246144,0.014934347373894956,0.019722388021792412,187
0.639344262295082,0.7427884615384616,0.36363636363636365,0.9230769230769231,0.5217391304347826,0.8493589743589743,0.5935119945414062,0.21311475409836064,13,48,1,0.2,246083,61,33,1min,leave_one_gateway_out,00000f0c22433141,246144,0.014934347373894956,0.21311475409836064,187
0.4855072463768116,0.7068880890052356,0.12757201646090535,0.96875,0.22545454545454546,0.7607984293193717,0.17404399168375084,0.07729468599033816,32,382,1,0.2,245730,414,33,1min,leave_one_gateway_out,00800000a0001793,246144,0.014934347373894956,0.07729468599033816,187
0.8234269885239415,0.7175261770781394,0.3549432739059968,0.5782178217821782,0.4398694451418529,0.8309215399957263,0.3970900222436653,0.11990502572220024,1515,11120,1,0.2,233509,12635,33,1min,leave_one_gateway_out,7276ff002e062804,246144,0.014934347373894956,0.11990502572220024,187
0.000345983925054559,0.000345983925054559,0.0,0.0,0.0,,,0.0,0,37574,0,0.1,72574,37574,33,5min,leave_one_gateway_out,0000024b0b031c97,110148,0.09682427279660094,0.0,187
0.9918918918918919,0.5,0.0,0.0,0.0,0.7986385289810746,0.06347896532962269,0.008108108108108109,42,5138,1,0.1,104968,5180,33,5min,leave_one_gateway_out,00000f0c210281c4,110148,0.09682427279660094,0.008108108108108109,187
0.9893326560416534,0.5,0.0,0.0,0.0,0.6912482694123796,0.028098212972590367,0.010667343958346561,168,15581,1,0.1,94399,15749,33,5min,leave_one_gateway_out,00000f0c210721f2,110148,0.09682427279660094,0.010667343958346561,187
0.4652696365767878,0.6131085437038066,0.35448028673835125,0.9767901234567902,0.5201840894148586,0.7852155413036153,0.5965246088860633,0.29674677608440797,2025,4799,1,0.1,103324,6824,33,5min,leave_one_gateway_out,00000f0c22433141,110148,0.09682427279660094,0.29674677608440797,187
