split,threshold,budget,n,events,alerts,precision,recall,lift
LOGO,0.1,0.05,10367.285714285714,1540.2857142857142,518.8571428571429,0.5345733629356509,0.1923842043627398,3.847684087254796
LOGO,0.1,0.1,10367.285714285714,1540.2857142857142,1037.0,0.4750426459296362,0.3164475865831767,3.164475865831766
LOGO,0.2,0.05,10328.4,600.8,517.0,0.465836370428878,0.31973721334958216,6.394744266991642
LOGO,0.2,0.1,10328.4,600.8,1033.2,0.3611681171558483,0.48733632934366466,4.873363293436647
Time,0.1,0.05,35776.0,3528.0,1789.0,0.6595863610955841,0.3344671201814059,6.6893424036281175
Time,0.1,0.1,35776.0,3528.0,3578.0,0.5399664617104528,0.5476190476190477,5.476190476190476
Time,0.2,0.05,35776.0,744.0,1789.0,0.27836780324203464,0.6693548387096774,13.387096774193546
Time,0.2,0.1,35776.0,744.0,3578.0,0.17831190609278927,0.8575268817204301,8.5752688172043
