split,threshold,target_recall,n,events,alerts,alert_rate,precision,recall,lift
LOGO,0.1,0.8,10367.285714285714,1540.2857142857142,4776.0,0.453139778220008,0.2925437282773348,0.8027236267641386,1.794528807664997
LOGO,0.2,0.8,10328.4,600.8,2759.4,0.2675304911405283,0.2307619899768115,0.8003520036934699,3.1116204881274134
Time,0.1,0.8,35776.0,3528.0,7218.0,0.20175536672629696,0.3911055694098088,0.8001700680272109,3.96604105759788
Time,0.2,0.8,35776.0,744.0,2843.0,0.07946668157423971,0.20963770664790715,0.8010752688172043,10.08064327020904
