Accuracy,BalancedAcc,Precision,Recall,F1,ROC_AUC,PR_AUC,PositiveRate,PositiveCount,NegativeCount,valid_binary_test,threshold,train_samples,test_samples,feature_count,feature_setting,split_type
0.7771131484794276,0.8440524849648782,0.29772520473157416,0.927437641723356,0.45075079212012675,0.923214955481076,0.5634583227067882,0.09861359570661896,3528,32248,1,0.1,74372,35776,33,full_features,time_based
0.5734570661896243,0.6418477462927616,0.1521171865733602,0.7270408163265306,0.25159391858754293,0.6592988759942081,0.1254104009590556,0.09861359570661896,3528,32248,1,0.1,74372,35776,1,current_crc_only,time_based
0.7770013416815742,0.8439904656148409,0.29761688193560126,0.927437641723356,0.4506266354496626,0.9232202995520544,0.5634429331872304,0.09861359570661896,3528,32248,1,0.1,74372,35776,32,without_current_crc,time_based
0.7291200805008945,0.8189453011834023,0.25795302804178777,0.9308390022675737,0.40396088320314905,0.9039188336171317,0.5132114957698019,0.09861359570661896,3528,32248,1,0.1,74372,35776,28,without_current_rolling_crc,time_based
0.6181518336314848,0.7402253777555015,0.1916123927201899,0.8922902494331065,0.3154782782983414,0.8180612178097071,0.2804464305193293,0.09861359570661896,3528,32248,1,0.1,74372,35776,26,without_all_crc,time_based
0.6015485241502684,0.7105681042780132,0.17881310258099287,0.8463718820861678,0.29524892470460273,0.7114112193707385,0.1839394885727567,0.09861359570661896,3528,32248,1,0.1,74372,35776,8,current_radio_only,time_based
0.5946724060822898,0.6914814735122528,0.17152607316051008,0.8120748299319728,0.2832287084177747,0.7212194178506597,0.17032161651938882,0.09861359570661896,3528,32248,1,0.1,74372,35776,2,delayed_radio_only,time_based
0.8710588103756708,0.903902760486879,0.1325735992402659,0.9381720430107527,0.23231818938259277,0.9598085590562975,0.36733116337574206,0.020796064400715564,744,35032,1,0.2,74372,35776,33,full_features,time_based
0.5248770125223614,0.5429601077478778,0.024458747805734347,0.5618279569892473,0.046876752270943144,0.5863280223672612,0.022485997093502224,0.020796064400715564,744,35032,1,0.2,74372,35776,1,current_crc_only,time_based
0.8710308586762076,0.9038884878218869,0.1325484238511204,0.9381720430107527,0.23227953410981697,0.9598113982423443,0.36733003015558424,0.020796064400715564,744,35032,1,0.2,74372,35776,32,without_current_crc,time_based
0.8473278175313059,0.8779720906476904,0.11149538866930171,0.9099462365591398,0.19865023474178403,0.9470761908620566,0.317730073433979,0.020796064400715564,744,35032,1,0.2,74372,35776,28,without_current_rolling_crc,time_based
0.8272305456171736,0.7433914491696685,0.07609543115546546,0.6559139784946236,0.1363699874248987,0.8570532364265422,0.11180907562643379,0.020796064400715564,744,35032,1,0.2,74372,35776,26,without_all_crc,time_based
0.6642162343470484,0.6687042814311708,0.04082796838073507,0.6733870967741935,0.07698809066461774,0.7196494464661496,0.05863342058276261,0.020796064400715564,744,35032,1,0.2,74372,35776,8,current_radio_only,time_based
0.5502012522361359,0.608512769891491,0.030469897209985317,0.6693548387096774,0.05828651685393258,0.6505379797150133,0.031167290903502346,0.020796064400715564,744,35032,1,0.2,74372,35776,2,delayed_radio_only,time_based
