threshold,feature_setting,Accuracy_mean,Accuracy_std,Accuracy_count,BalancedAcc_mean,BalancedAcc_std,BalancedAcc_count,Precision_mean,Precision_std,Precision_count,Recall_mean,Recall_std,Recall_count,F1_mean,F1_std,F1_count,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_count,PR_AUC_mean,PR_AUC_std,PR_AUC_count,PositiveRate_mean,PositiveRate_std,PositiveRate_count,PositiveCount_mean,PositiveCount_std,PositiveCount_count,train_samples_mean,train_samples_std,train_samples_count,test_samples_mean,test_samples_std,test_samples_count,feature_count_mean,feature_count_std,feature_count_count
0.1,current_crc_only,0.5947406641915658,0.32449569851988364,7,0.4394278543500496,0.06823770474398058,7,0.08851540033939302,0.09419203479070444,7,0.2734330308115131,0.4083477299000513,7,0.12172173819239399,0.1534353493718808,7,0.23627440216042248,0.06664655414393764,7,0.1099308988229842,0.0745489158860937,7,0.1667368150938857,0.11402517953403717,7,1540.2857142857142,2396.596247061355,7,99780.71428571429,12711.771915751764,7,10367.285714285714,12711.771915751764,7,1.0,0.0,7
0.1,current_radio_only,0.6780719968633757,0.2571059118869398,7,0.4893872690628966,0.02544289071604887,7,0.14677735454001153,0.14662752965658715,7,0.23373211878785044,0.3379416608235509,7,0.12628926244293687,0.14638906765871684,7,0.4819366633330485,0.06694695016882603,7,0.15823710473004565,0.10842673419995069,7,0.1667368150938857,0.11402517953403717,7,1540.2857142857142,2396.596247061355,7,99780.71428571429,12711.771915751764,7,10367.285714285714,12711.771915751764,7,8.0,0.0,7
0.1,delayed_radio_only,0.7025212835008625,0.28127738342746167,7,0.4888531602482558,0.029620603422238975,7,0.12410893430102546,0.12737758366751006,7,0.180527955046698,0.37158757311862217,7,0.07513740952291285,0.11964929147114949,7,0.525727224478004,0.05031896310253515,7,0.17230407708448683,0.11331359023652111,7,0.1667368150938857,0.11402517953403717,7,1540.2857142857142,2396.596247061355,7,99780.71428571429,12711.771915751764,7,10367.285714285714,12711.771915751764,7,2.0,0.0,7
0.1,full_features,0.7578364748232337,0.2017404044595788,7,0.6174557330834795,0.08561773875320995,7,0.3141578416219374,0.2368537674176952,7,0.49613569506012756,0.4146110200630805,7,0.3471100094312241,0.2389290860993831,7,0.7857409306054896,0.042951995678803784,7,0.40672081996725945,0.2497214244679423,7,0.1667368150938857,0.11402517953403717,7,1540.2857142857142,2396.596247061355,7,99780.71428571429,12711.771915751764,7,10367.285714285714,12711.771915751764,7,33.0,0.0,7
0.1,without_all_crc,0.7295771692221218,0.2199148995742401,7,0.5469854703701122,0.07458117608359845,7,0.24630287153431915,0.18739157392706385,7,0.35058843387643945,0.41321989196992004,7,0.23352022176064843,0.21726938464971793,7,0.6568244049560115,0.0709068782148085,7,0.26962827240706977,0.19814349039757498,7,0.1667368150938857,0.11402517953403717,7,1540.2857142857142,2396.596247061355,7,99780.71428571429,12711.771915751764,7,10367.285714285714,12711.771915751764,7,26.0,0.0,7
0.1,without_current_crc,0.7577278248105941,0.20176464959237775,7,0.6173655850088702,0.08549507717198433,7,0.313760654573949,0.2363615199058845,7,0.4960875198143187,0.41432904588713226,7,0.34705619667392157,0.23886378350756893,7,0.7857235106389415,0.04295390966666792,7,0.4067447715918364,0.24974904704787695,7,0.1667368150938857,0.11402517953403717,7,1540.2857142857142,2396.596247061355,7,99780.71428571429,12711.771915751764,7,10367.285714285714,12711.771915751764,7,32.0,0.0,7
0.1,without_current_rolling_crc,0.7586125758532338,0.21548178263056111,7,0.5809825267059178,0.09600652661778696,7,0.4232791098103377,0.23798163319228985,7,0.3979494301413887,0.44474088429744746,7,0.2643008960587975,0.24211923238623956,7,0.7354580764183033,0.056249647283610316,7,0.3714315645060901,0.23411745140854687,7,0.1667368150938857,0.11402517953403717,7,1540.2857142857142,2396.596247061355,7,99780.71428571429,12711.771915751764,7,10367.285714285714,12711.771915751764,7,28.0,0.0,7
0.2,current_crc_only,0.4410757814312606,0.34576293089903615,5,0.3985174672095522,0.08197293029301869,5,0.036148266006821125,0.04195232607585312,5,0.35247423416947526,0.4440213302938201,5,0.06142423298771869,0.07419674659860974,5,0.20218262460653752,0.09539538677099278,5,0.04870848302171967,0.022812790540894023,5,0.07937629217572437,0.04022023075955518,5,600.8,588.0822221424484,5,99819.6,15113.375939875248,5,10328.4,15113.375939875246,5,1.0,0.0,5
0.2,current_radio_only,0.6422031988385996,0.233803309849125,5,0.509834019077037,0.039327729468189944,5,0.07780122024763313,0.07068984079365068,5,0.3367763049054021,0.35493456409475976,5,0.08127350447449253,0.058983369272982915,5,0.5205781442990649,0.07585166860795244,5,0.09620950392798068,0.04678776685587441,5,0.07937629217572437,0.04022023075955518,5,600.8,588.0822221424484,5,99819.6,15113.375939875248,5,10328.4,15113.375939875246,5,8.0,0.0,5
0.2,delayed_radio_only,0.7311801631710415,0.38796976672718897,5,0.5089933974961195,0.01764420381294637,5,0.10365210578923198,0.09627745334086293,5,0.22506205394321074,0.43473102083914217,5,0.052231499291312246,0.05929118222502089,5,0.5274468711615701,0.0572414706872991,5,0.09993473412160478,0.040797665486073345,5,0.07937629217572437,0.04022023075955518,5,600.8,588.0822221424484,5,99819.6,15113.375939875248,5,10328.4,15113.375939875246,5,2.0,0.0,5
0.2,full_features,0.7227777013955133,0.1956624352319974,5,0.7099786097437238,0.06833184313562321,5,0.2652017697711557,0.1276073916233845,5,0.707676802978531,0.35170543502190177,5,0.3176542117864367,0.07536111121307817,5,0.8682201660466561,0.027393870012012603,5,0.37573446820790213,0.0702089906666927,5,0.07937629217572437,0.04022023075955518,5,600.8,588.0822221424484,5,99819.6,15113.375939875248,5,10328.4,15113.375939875246,5,33.0,0.0,5
0.2,without_all_crc,0.6594069813142042,0.31569462570096607,5,0.5362192272147388,0.03020805360761938,5,0.06974815276800084,0.04129806219411183,5,0.38364445336544895,0.4200021174222229,5,0.10368710839744262,0.0729797669074527,5,0.6554442892463527,0.12117732020871567,5,0.16825556330440364,0.08811485681831865,5,0.07937629217572437,0.04022023075955518,5,600.8,588.0822221424484,5,99819.6,15113.375939875248,5,10328.4,15113.375939875246,5,26.0,0.0,5
0.2,without_current_crc,0.7236329649567879,0.19512821564530122,5,0.710764465772656,0.06873361809892405,5,0.2662451258505933,0.12835527843208158,5,0.708386022836687,0.35102397827567805,5,0.31864475704715484,0.07560561441100655,5,0.8683017675059942,0.02739296340381887,5,0.3758933359634975,0.07007609059889705,5,0.07937629217572437,0.04022023075955518,5,600.8,588.0822221424484,5,99819.6,15113.375939875248,5,10328.4,15113.375939875246,5,32.0,0.0,5
0.2,without_current_rolling_crc,0.7166181350203531,0.212030497169725,5,0.6693354586310967,0.08160415581993284,5,0.2920110162473367,0.18370465226498578,5,0.6292064668327793,0.41033929577162837,5,0.2734014651017126,0.09720783190967257,5,0.8409067980656706,0.02431722851310003,5,0.33526287306434865,0.07349474031431487,5,0.07937629217572437,0.04022023075955518,5,600.8,588.0822221424484,5,99819.6,15113.375939875248,5,10328.4,15113.375939875246,5,28.0,0.0,5
