Accuracy,BalancedAcc,Precision,Recall,F1,ROC_AUC,PR_AUC,PositiveRate,PositiveCount,NegativeCount,valid_binary_test,threshold,train_samples,test_samples,feature_count,feature_setting,split_type,test_gateway
0.6938745603751465,0.5027746784299618,0.39325842696629215,0.016908212560386472,0.03242241778601204,0.4703157676525641,0.2926832860292896,0.3033411488862837,2070,4754,1,0.1,103324,6824,8,current_radio_only,leave_one_gateway_out,00000f0c22433141
0.6949003516998827,0.49996524665727715,0.3,0.004347826086956522,0.008571428571428572,0.4961845504116543,0.30551547570167725,0.3033411488862837,2070,4754,1,0.1,103324,6824,2,delayed_radio_only,leave_one_gateway_out,00000f0c22433141
0.8043105559637521,0.6432373846056791,0.5885608856088561,0.3564245810055866,0.4439805149617258,0.7933041503403125,0.5176561451119287,0.21920156747489591,895,3188,1,0.1,106065,4083,33,full_features,leave_one_gateway_out,00800000a0001793
0.7430810678422728,0.4794633156459629,0.05232558139534884,0.01005586592178771,0.016869728209934397,0.19311401694903374,0.14108787585910762,0.21920156747489591,895,3188,1,0.1,106065,4083,1,current_crc_only,leave_one_gateway_out,00800000a0001793
0.8038207200587804,0.6437273504692878,0.5857664233576643,0.358659217877095,0.44490644490644493,0.7934646684844704,0.5178217783778243,0.21920156747489591,895,3188,1,0.1,106065,4083,32,without_current_crc,leave_one_gateway_out,00800000a0001793
0.7834925300024492,0.5085561778456923,0.7391304347826086,0.01899441340782123,0.037037037037037035,0.7277012960613475,0.44749024856478203,0.21920156747489591,895,3188,1,0.1,106065,4083,28,without_current_rolling_crc,leave_one_gateway_out,00800000a0001793
0.5919666911584619,0.6872745561217695,0.33275488069414316,0.8569832402234637,0.479375,0.7802874606590358,0.4997284271004503,0.21920156747489591,895,3188,1,0.1,106065,4083,26,without_all_crc,leave_one_gateway_out,00800000a0001793
0.6759735488611315,0.43890059090303724,0.03275109170305677,0.01675977653631285,0.022172949002217297,0.33725002278095934,0.15588815800315808,0.21920156747489591,895,3188,1,0.1,106065,4083,8,current_radio_only,leave_one_gateway_out,00800000a0001793
0.7800636786676464,0.49952948557089083,0.0,0.0,0.0,0.52661797382643,0.22659889306743242,0.21920156747489591,895,3188,1,0.1,106065,4083,2,delayed_radio_only,leave_one_gateway_out,00800000a0001793
0.5900565644537065,0.7004150744179514,0.361504640937958,0.9135802469135802,0.5180259012950648,0.8247581961456683,0.6042249582755898,0.24114319738017267,810,2549,1,0.1,106789,3359,33,full_features,leave_one_gateway_out,00800000a0001794
0.509377791009229,0.37478677186405707,0.0908203125,0.11481481481481481,0.10141766630316248,0.24525352474221312,0.15851759171284796,0.24114319738017267,810,2549,1,0.1,106789,3359,1,current_crc_only,leave_one_gateway_out,00800000a0001794
0.5897588568026199,0.699797790467334,0.36119257086999024,0.9123456790123456,0.5175070028011205,0.8247267144220198,0.604203586769892,0.24114319738017267,810,2549,1,0.1,106789,3359,32,without_current_crc,leave_one_gateway_out,00800000a0001794
0.6537660017862459,0.7061752611772227,0.3937387116195063,0.8074074074074075,0.5293403480372318,0.7938392688490766,0.563222222687811,0.24114319738017267,810,2549,1,0.1,106789,3359,28,without_current_rolling_crc,leave_one_gateway_out,00800000a0001794
0.7168800238166121,0.58352004417128,0.39461883408071746,0.32592592592592595,0.35699797160243407,0.6278099860027413,0.3647863253151673,0.24114319738017267,810,2549,1,0.1,106789,3359,26,without_all_crc,leave_one_gateway_out,00800000a0001794
0.5233700506103007,0.5090812664370923,0.24824952259707192,0.48148148148148145,0.32759344813103736,0.535881415612029,0.24535289844278427,0.24114319738017267,810,2549,1,0.1,106789,3359,8,current_radio_only,leave_one_gateway_out,00800000a0001794
0.7490324501339685,0.5006860594084342,0.2537313432835821,0.020987654320987655,0.03876852907639681,0.49880660050661363,0.23986960537357221,0.24114319738017267,810,2549,1,0.1,106789,3359,2,delayed_radio_only,leave_one_gateway_out,00800000a0001794
0.6242424242424243,0.6975200045400375,0.32934131736526945,0.8208955223880597,0.4700854700854701,0.7938255490607796,0.5016140975769767,0.20303030303030303,67,263,1,0.1,109818,330,33,full_features,leave_one_gateway_out,00800000a0001914
0.5,0.3414959423415243,0.046296296296296294,0.07462686567164178,0.05714285714285714,0.2021167924635378,0.127526258264879,0.20303030303030303,67,263,1,0.1,109818,330,1,current_crc_only,leave_one_gateway_out,00800000a0001914
0.6242424242424243,0.6975200045400375,0.32934131736526945,0.8208955223880597,0.4700854700854701,0.7936552976562057,0.5014843782989036,0.20303030303030303,67,263,1,0.1,109818,330,32,without_current_crc,leave_one_gateway_out,00800000a0001914
0.6909090909090909,0.7282220078315647,0.375886524822695,0.7910447761194029,0.5096153846153846,0.7974008285568356,0.5413626437975091,0.20303030303030303,67,263,1,0.1,109818,330,28,without_current_rolling_crc,leave_one_gateway_out,00800000a0001914
0.793939393939394,0.5759605016741388,0.4827586206896552,0.208955223880597,0.2916666666666667,0.6051869927926905,0.3139343614286972,0.20303030303030303,67,263,1,0.1,109818,330,26,without_all_crc,leave_one_gateway_out,00800000a0001914
