threshold,feature_setting,feature_count_mean,Recall_mean,Recall_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,PR_AUC_count
0.1,without_current_crc,32.0,0.4960875198143187,0.41432904588713226,0.7857235106389415,0.04295390966666792,0.4067447715918364,0.24974904704787695,7
0.1,full_features,33.0,0.49613569506012756,0.4146110200630805,0.7857409306054896,0.042951995678803784,0.40672081996725945,0.2497214244679423,7
0.1,without_current_rolling_crc,28.0,0.3979494301413887,0.44474088429744746,0.7354580764183033,0.056249647283610316,0.3714315645060901,0.23411745140854687,7
0.1,without_all_crc,26.0,0.35058843387643945,0.41321989196992004,0.6568244049560115,0.0709068782148085,0.26962827240706977,0.19814349039757498,7
0.1,delayed_radio_only,2.0,0.180527955046698,0.37158757311862217,0.525727224478004,0.05031896310253515,0.17230407708448683,0.11331359023652111,7
0.1,current_radio_only,8.0,0.23373211878785044,0.3379416608235509,0.4819366633330485,0.06694695016882603,0.15823710473004565,0.10842673419995069,7
0.1,current_crc_only,1.0,0.2734330308115131,0.4083477299000513,0.23627440216042248,0.06664655414393764,0.1099308988229842,0.0745489158860937,7
0.2,without_current_crc,32.0,0.708386022836687,0.35102397827567805,0.8683017675059942,0.02739296340381887,0.3758933359634975,0.07007609059889705,5
0.2,full_features,33.0,0.707676802978531,0.35170543502190177,0.8682201660466561,0.027393870012012603,0.37573446820790213,0.0702089906666927,5
0.2,without_current_rolling_crc,28.0,0.6292064668327793,0.41033929577162837,0.8409067980656706,0.02431722851310003,0.33526287306434865,0.07349474031431487,5
0.2,without_all_crc,26.0,0.38364445336544895,0.4200021174222229,0.6554442892463527,0.12117732020871567,0.16825556330440364,0.08811485681831865,5
0.2,delayed_radio_only,2.0,0.22506205394321074,0.43473102083914217,0.5274468711615701,0.0572414706872991,0.09993473412160478,0.040797665486073345,5
0.2,current_radio_only,8.0,0.3367763049054021,0.35493456409475976,0.5205781442990649,0.07585166860795244,0.09620950392798068,0.04678776685587441,5
0.2,current_crc_only,1.0,0.35247423416947526,0.4440213302938201,0.20218262460653752,0.09539538677099278,0.04870848302171967,0.022812790540894023,5
