gateway_id,gateway
G1,0000024b0b031c97
G2,00000f0c210281c4
G3,00000f0c210721f2
G4,00000f0c22433141
G5,00800000a0001793
G6,00800000a0001794
G7,00800000a0001914
G8,7276ff002e062804
